Date,Title,EngTitle,JapEngTitle
2020-10-26 10:30:00,"셀트리온, 美FDA서 코로나19 신속진단키트 `샘피뉴트`의 긴급사용승인...","Celltrion, US FDA approves emergency use of'Sampinet', a Corona 19 rapid diagnosis kit...","Celltrion, Beauty FDA Allows Emergency Use of Corona 19 Rapid Diagnostic Kit `Sempinute` ..."
2020-10-26 10:23:00,"셀트리온, 코로나19 항원키트 '샘피뉴트' 美 긴급사용 승인",Celltrion Approves U.S. Emergency Use of Corona 19 Antigen Kit'Sampinet',"Celltrion, Corona 19 Antigen Kit ""Sempinute"" Beauty Emergency Use Approval"
2020-10-26 10:09:00,"셀트리온, 코로나 항원키트 '샘피뉴트' 美 FDA 긴급사용승인 획득",Celltrion acquires US FDA emergency approval for corona antigen kit'Sampinet',"Celltrion, Corona Antigen Kit ""Sempinute"" Beauty FDA Emergency Use Approval"
2020-10-26 10:04:00,"셀트리온, 코로나19 신속진단 항원키트 '샘피뉴트' 美FDA 긴급사용...","Celltrion, US FDA emergency use of'Sampinet', a rapid diagnosis of Corona 19","Celltrion, Corona 19 Rapid Diagnostic Antigen Kit ""Sempinute"" Beauty FDA Emergency Use ..."
2020-10-23 11:01:00,큰손들 외면에 미끄럼 타는 셀트리온,Celltrion that slides on the outside of big hands,Celltrion slipping on the outer surface of a major
2020-10-21 17:24:00,"개인 매도 물량 쏟아진 셀트리온, '3억 대주주 양도세' 덫에 걸렸나","Celltrion, which has poured out personal sales, is caught in the'transfer tax of 300 million major shareholders'","Celltrion Conflicts ""300 Million Shareholder Transfers"" Trap"
2020-10-21 09:12:00,"기우성 셀트리온 대표, 500대 기업 CEO 경영평가 '1위'","Woo-Sung Ki, CEO of Celltrion, CEO of 500 Top Companies","Representative of Celltrion, CEO of 500 companies, management evaluation ""1st place"""
2020-10-21 08:40:00,"셀트리온, 실적성장·신약개발 기대감…목표주가 유지-신영","Celltrion, expectations for performance growth and drug development… Maintain target price-Shinyoung","Celltrion, performance growth, expectations for new drug development ... Maintaining target stock price --Shinyon"
2020-10-21 08:29:00,"셀트리온, 2분기 이어 3분기도 좋아-신영","Celltrion, 2Q and 3Q are also good-Shinyoung",Celltrion likes the second quarter followed by the third quarter-Shinyon
2020-10-20 08:29:00,"[Hot-Line] ""셀트리온, 3분기 단가 낮은 램시마 IV 비중 높...","[Hot-Line] ""Celltrion, high proportion of Remsima IV with low unit price in 3Q...","[Hot-Line] ""Celltrion, Lamu IV with low unit price in Q3 ..."
2020-10-20 08:28:00,"셀트리온, 코로나 치료제 발표로 변동성 확대 예상-키움",Celltrion to increase volatility with the announcement of corona treatment,Celltrion predicts widening fluctuations with announcement of corona treatment-nurturing
2020-10-20 07:45:00,[클릭 e종목] 셀트리온 3Q 영업익 1782억…전년 比 73%↑ 전...,[Click e-Stock] Celltrion 3Q operating profit of 178.2 billion... 73% ↑ compared to the previous year...,[Click e event] Celltrion 3Q operating income 178.2 billion ... 73% year-on-year ↑ Previous ...
2020-10-20 07:28:00,"셀트리온, 3분기 영업益 컨세서스 하회 전망…목표가↓-키움",Celltrion's 3Q operating consensus forecast to fall… Target price↓-raising,"Celltrion, third quarter operating profit outlook below Concessus ... Goal ↓ --Grow"
2020-10-19 08:55:00,"셀트리온 견조한 실적 지속, 주가 상승 근거 충분","Celltrion continued solid earnings, sufficient grounds for share price rise","Celltrion continues to perform well, sufficient based on rising stock prices"
2020-10-19 08:32:00,"셀트리온, 견조한 성장..주가 상승 근거 충분-신한","Celltrion, solid growth.. Sufficient grounds for stock price rise-Shinhan","Celltrion, strong growth. Sufficient based on stock price rise-Shinhan"
2020-10-18 15:55:00,"셀트리온 방문 이낙연 ""세계 최초 코로나 청정국 가능""","Visiting Celltrion Nak-Yeon Lee ""The world's first corona-clean country possible""","Visit to Celltrion Lee Na Kyung ""The world's first corona clean country possible"""
2020-10-18 09:58:00,이낙연 '코로나 백신' 행보…오늘 셀트리온 송도 공장 방문,Nak-yeon Lee's'corona vaccine' move Celltrion Songdo factory visit today,"Lee Na Kyung's ""Coronavirus"" history ... Visiting the Celltrion Matsushima factory today"
2020-10-15 08:35:00,"[Hot-Line] ""셀트리온, 3분기도 호실적 이어갈 것""","[Hot-Line] ""Celltrion's 3Q earnings will continue""","[Hot-Line] ""Celltrion continues to perform well in the third quarter"""
2020-10-15 07:46:00,"셀트리온, 꾸준한 생산캐파 증설…3Q도 고성장-하나","Celltrion, steady production capacity expansion... High growth in 3Q-One","Celltrion, stable production capacity expansion ... 3Q also high growth-one"
2020-10-15 06:46:00,[2020년 상반기 법인세 분석]⑦제약·바이오업 실적 양호한 제약업…셀...,[Corporate tax analysis for the first half of 2020] Cell...,[Analysis of corporate tax in the first half of 2020] (7) Pharmaceuticals / Bio-up performance Pharmaceuticals ...
2020-10-14 16:17:00,"길병원-셀트리온, 데이터-인공지능 기반 질환관리 서비스 협약","Gil Hospital-Celltrion, data-artificial intelligence-based disease management service agreement","Gil Hospital-Celltrion, Data-Artificial Intelligence-based Disease Management Service Contract"
2020-10-13 10:57:00,"셀트리온 허쥬마, 브라질 공공시장에 1년간 공급",Celltrion Herzuma to supply Brazilian public market for one year,"Sertorion Hojuma, Brazil, 1 year supply to the public market"
2020-10-13 09:24:00,중남미로 영역 넓히는 셀트리온,Celltrion expands its reach to Latin America,Celltrion expanding its territory in Latin America
2020-10-13 05:30:00,"셀트리온 항체치료제, 감염도 막을까…'백신효과' 임상3상 돌입",Will Celltrion Antibody Treatment Prevent Infection? 'Vaccine effect' begins phase 3 clinical trial,"Celltrion antibody therapeutic agent, prevent infection ... Entering clinical phase 3 of ""vaccine effect"""
2020-10-12 17:30:00,셀트리온 코로나 항체 치료제 예방 임상3상 돌입,Celltrion corona antibody treatment prevention clinical trial begins,Sertorion corona antibody therapeutic agent prophylactic clinical phase 3 entry
2020-10-12 09:43:00,"셀트리온, 항체치료제 백신 겸용 개발...예방임상 3상 진행","Celltrion, antibody treatment vaccine combined development...Preventive clinical phase 3 progress","Celltrion, antibody therapeutic agent vaccine combined development ... preventive clinical phase 3 progress"
2020-10-12 09:18:00,"셀트리온, 코로나19 항체 치료제 예방 임상시험 개시",Celltrion launches clinical trial for prevention of COVID-19 antibody treatment,Celltrion begins prophylactic clinical trials of corona 19 antibody therapeutic
2020-10-12 17:14:00,"[이데일리N] 셀트리온, 코로나19 항체치료제 예방효과 확인 임상 개시...",[EDaily N] Celltrion begins clinical trials confirming the preventive effect of Corona 19 antibody treatment...,"[EDAILY N] Celltrion, clinical start of confirmation of preventive effect of corona 19 antibody therapeutic agent ..."
2020-10-12 10:20:00,"셀트리온 코로나19 항체치료제, 예방 임상시험 개시","Celltrion COVID-19 antibody treatment, prevention clinical trial started","Sertorion Corona 19 antibody therapeutic agent, preventive clinical trial started"
2020-10-12 10:04:00,"셀트리온, 코로나19 항체 치료제 예방 임상시험 개시",Celltrion launches clinical trial for prevention of COVID-19 antibody treatment,Celltrion begins prophylactic clinical trials of corona 19 antibody therapeutic
2020-10-12 09:57:00,"셀트리온, 코로나19 항체치료제 ‘무증상 확진자’ 임상 시작",Celltrion begins clinical trials for corona19 antibody treatment'asymptomatic confirmed patients',"Celltrion, Corona 19 antibody therapeutic agent ""asymptomatic infected person"" clinical start"
2020-10-12 09:32:00,"셀트리온, 코로나19 항체치료제의 예방용 임상 3상 개시",Celltrion initiates phase 3 clinical trial for the prevention of COVID-19 antibody treatment,Celltrion begins clinical phase 3 for prevention of corona 19 antibody therapeutics
2020-10-12 09:40:00,"셀트리온, 코로나19 항체 치료제 'CT-P59' 예방 임상시험 개시","Celltrion, COVID-19 antibody treatment'CT-P59' prevention clinical trial started","Celltrion begins clinical trials for prevention of corona 19 antibody therapeutic agent ""CT-P59"""
2020-10-08 17:56:00,셀트리온 졸레어 바이오시밀러 글로벌 임상3상 돌입,Celltrion Xolair Biosimilar Global Clinical Phase 3 Start,Celtorion Solrea Biosimilar Enters Global Phase 3
2020-10-08 09:38:00,"셀트리온, 졸레어 바이오시밀러 글로벌 임상 3상 진행","Celltrion, Xolair Biosimilar Global Clinical Phase 3","Global Phase 3 Progression of Celltrion, Solrea Biosimilar"
2020-10-08 09:31:00,"셀트리온, 졸레어 바이오시밀러 ‘CT-P39’ 글로벌 임상 3상 본격...","Celltrion, Xolair biosimilar'CT-P39' in full-fledged global clinical phase 3...","Celltrion, Solrea Biosimilar ""CT-P39"" Global Phase 3 Full-scale ..."
2020-10-08 09:16:00,"셀트리온 'CT-P39' 국내 임상3상도 승인, 7개국서 진행","Celltrion'CT-P39' approved for phase 3 clinical trials in Korea, conducted in 7 countries","Approval of 3 domestic clinical awards for celltrion ""CT-P39"", progressing in 7 countries"
2020-10-08 09:14:00,"셀트리온 ""천식·두드러기 약 졸레어 바이오시밀러 임상 3상 본격화""","Celltrion ""Full-fledged clinical trial phase 3 of Xolair biosimilar for asthma and urticaria""","Celltrion ""Full-scale clinical phase 3 of asthma / urticaria drug solrea biosimilar"""
2020-10-08 09:08:00,"셀트리온, 졸레어 바이오시밀러 'CT-P39' 글로벌 임상 3상 본격...","Celltrion, Xolair biosimilar'CT-P39' in full-fledged global clinical phase 3...","Celltrion, Solrea Biosimilar ""CT-P39"" Global Phase 3 Full-scale ..."
2020-10-08 14:21:00,"[이데일리N] 셀트리온, 천식·두드러기 바이오시밀러 글로벌 임상3상 外","[EDaily N] Celltrion, asthma and hives biosimilar global clinical phase 3, etc.","[EDAILY N] Celltrion, Asthma / Urticaria, Biosimilar Global Phase 3 Outside"
2020-10-08 11:41:00,셀트리온부터 나녹스까지…증시 뒤흔드는 공매도 논란,From Celltrion to Nanox... Short selling controversy shakes the stock market,From Celltrion to Nanox ... Stock Market Shaking Short Selling Discussion
2020-10-08 10:27:00,[‘양날의 검’ 공매도]셀트리온부터 나녹스까지…시장 뒤흔드는 공매도,[Selling a “double-edged sword” short] From Celltrion to Nanox... Short selling that shakes the market,['Double-edged sword' short sale] From Celltrion to Nanox ... Market-shaking short sale
2020-10-08 09:30:00,"셀트리온, '졸레어' 바이오시밀러 임상 3상 진입",Celltrion enters phase 3 clinical trial of'Xolair' biosimilar,"Celltrion, ""Solrea"" Biosimilar clinical phase 3 entry"
2020-10-08 09:21:00,"셀트리온, 천식 치료제 바이오시밀러 임상 3상 계획 승인",Celltrion Approves Phase 3 Clinical Plan for Asthma Treatment Biosimilar,Celltrion approves three-phase clinical plan for biosimilar asthma treatment
2020-10-07 11:01:00,"서정진 셀트리온 회장, 국감장 안선다…증인서 제외","Celltrion Chairman Seo Jeong-jin, Director General Ahn Sunda... Excluding witness",Chairman Seo Jung Jin Sertorion stands at the National Audit Office ... excluded from witnesses
2020-10-06 17:42:00,"서정진 ""셀트리온 떠나 벤처로 새출발""","Seo Jeong-jin ""Leave Celltrion and start a venture as a venture""","Seo Jung-jin ""Loading into a venture away from Celltrion"""
2020-10-06 15:40:00,"식약처 ""셀트리온 항체치료제 코로나19 변종에 효과 확인""","Ministry of Food and Drug Safety ""Confirmed the effect of Celltrion antibody treatment on COVID-19 strain""","Shikuyaku destination ""Confirm the effect on variants of the celltrion antibody therapeutic agent Corona 19"""
2020-10-06 15:17:00,셀트리온 치료제 '코로나 돌연변이'에도 효과,Celltrion treatment'corona mutation' also effective,"Also effective for the celltrion drug ""Corona Mutation"""
2020-10-06 12:05:00,"셀트리온, 서정진 은퇴 발언에도 주가는 '굳건'","Celltrion, Seo Jeong-jin's retirement remarks, the stock price is'strong'","Celltrion and Seo Jung-jin retired, but stock prices are ""firm"""
2020-10-06 11:43:00,국내증시 ‘큰손’ 외국인 투자자...셀트리온 팔고 삼성전자 담았다,Domestic stock market'big hand' foreign investor...Selling Celltrion and putting it into Samsung Electronics,"Domestic securities market ""worker"" foreign investor ... Celltrion sold Samsung Electronics"
2020-10-06 10:00:00,"외국인, 3분기 ‘셀트리온’ 팔고 ‘삼성전자’ 담았다",Foreigners sold'Celltrion' in the third quarter and put'Samsung Electronics',"Foreigners sell ""Celltrion"" in the third quarter and put in ""Samsung Electronics"""
2020-10-06 11:02:00,코로나로 뒤바뀐 국내 주식부자 순위…셀트리온·카카오 의장 급부상,The ranking of domestic stock-rich people turned into corona... Celltrion and Kakao Chairman Suddenly Rise,Domestic stock rich ranking replaced by Corona ... Celltrion Cacao chairman emerged
2020-10-05 14:22:00,[중화권 주식이야기] '중국판 셀트리온' 헨리우스의 잠재력,[Stock Story in Greater China] The Potential of'Chinese Version Celltrion' Henrius,"[Greater China Stock Story] Possibility of ""Chinese Celltrion"" Henryus"
2020-10-04 17:56:00,셀트리온·풀무원…올해 한번도 안꺾인 `슈퍼株`,Celltrion·Pulmuone… 'Super株' that has never been broken this year,Celltrion Plumwon ... A break that has never happened this year `Super Stock`
2020-09-29 16:58:00,"'제2 셀트리온'이라더니...폴루스바이오팜, 상폐 위기","'Second Celltrion'...Pollus Biopharm, the currency crisis","""2nd Celltrion"" Iradni ... Paul Ruth Biofarm, San Pie Crisis"
2020-09-29 04:49:00,"'합병' 셀트리온 3형제 더하니 시총 3위…""시너지 기대""","'Merger', Celltrion's 3 brothers added, 3rd place in market cap... ""Synergy Expectation""","""Merger"" Celltrion 3 brothers Dohani 3rd place in market capitalization ... ""Synergy expectations"""
2020-09-28 17:44:00,[유가증권시장 공시] 대한유화 / 셀트리온 / 에어부산 등,"[Securities Market Disclosure] Korea Petrochemical / Celltrion / Air Busan, etc.","[Securities Market Announcement] Oil Painting / Celltrion / Air Busan, etc."
2020-09-28 17:40:00,"`합병 삼형제` 희비…셀트리온 ㅠㅠ, 셀트리온제약 ^^","Heebi, the ""three brothers who merged""... Celltrion ㅠㅠ, Celltrion Pharmaceuticals ^^","`Merged Three Brothers` Sadness ... Celltrion ㅠㅠ, Celltrion Pharmaceutical ^^"
2020-09-28 16:09:00,셀트리온 3사 합병 최대 수혜주는 셀트리온제약?,Celltrion Pharmaceutical is the biggest beneficiary of the merger of the three Celltrion companies?,Is Celltrion Pharmaceutical the largest merger of three Celltrion companies?
2020-09-28 12:58:00,'시총52조' 공룡의 탄생…셀트리온 3형제 더 오를까,The birth of '52 trillion times' dinosaur... Will the three Celltrion brothers rise?,"""Market capitalization 52 trillion"" Birth of dinosaurs ... will be higher than the 3 Celltrion brothers"
2020-09-28 09:32:00,"[특징주]3社 합병 계획에, 셀트리온 삼총사 강세",[Features] Celltrion's Three Musketeers Strengthen in 3 Companies Merger Plan,"[Tukjinju] In the merger plan of the three companies, Celltrion Three Musketeers High School"
2020-09-28 09:20:00,"[특징주]셀트리온 3사, 합병 소식에 일제히 강세",[Features] Celltrion's three companies are strong on the news of the merger,[Tukjinju] The three Celltrion companies are all bullish on the news of the merger
2020-09-28 09:16:00,"셀트리온제약, 셀트리온 등 3사 합병 소식에 16% '급등'","Celltrion Pharmaceutical, Celltrion, etc.","16% surge in news of merger of three companies including celltrion pharmaceuticals and celltrion """
2020-09-28 09:15:00,"코스피, 개인 매수에 강세…셀트리온 3사↑","KOSPI, strong in individual buying... Celltrion 3 companies↑","KOSPI, bullish on the number of individuals ... 3 Celltrion companies ↑"
2020-09-28 09:13:00,"셀트리온 3형제, 합병 소식에 동반 강세…셀트리온제약 12%↑",Celltrion's three brothers are strong on the news of the merger… Celltrion Pharmaceutical 12%↑,Celltrion 3 brothers are high due to news of merger ... Celltrion Pharmaceutical 12% ↑
2020-09-28 09:13:00,"셀트리온 3형제, 합병 소식에 동반 강세…셀트리온제약 12%↑",Celltrion's three brothers are strong on the news of the merger… Celltrion Pharmaceutical 12%↑,Celltrion 3 brothers are high due to news of merger ... Celltrion Pharmaceutical 12% ↑
2020-09-28 17:39:00,"셀트리온, 셀트리온헬스케어와 2523억 규모 공급계약",Celltrion and Celltrion Healthcare signed a supply contract worth 252.3 billion won,252.3 billion supply contracts with Celltrion and Celltrion Healthcare
2020-09-28 16:30:00,"셀트리온, 셀트리온헬스케어와 2523억 규모 공급계약 체결",Celltrion and Celltrion Healthcare signed a supply contract worth 252.3 billion won,Celltrion signs supply contract with Celltrion Healthcare on a scale of 252.3 billion
2020-09-28 16:22:00,"셀트리온, 셀트리온헬스케어와 2523억원 규모 공급 계약 체결",Celltrion and Celltrion Healthcare signed a supply contract worth 252.3 billion won,Celltrion signs a supply contract of 252.3 billion won with Celltrion Healthcare
2020-09-28 11:41:00,"셀트리온 형제, 합병으로 빠지면 코스닥지수는?","Celltrion brothers, if the merger leaves the KOSDAQ index?","Celltrion's brother, what is the KOSDAQ index that will be merged?"
2020-09-28 11:18:00,"셀트리온 3형제 합병 시동, 주가는","Celltrion's 3 brothers merger starts, shares","Celltrion 3 brothers merged boots, stock price"
2020-09-28 11:13:00,합병하는 셀트리온 3형제…주가도 ‘더하기’ 될까?,"Three Celltrion brothers to merge... Will the stock price be ""plus""?","The three Celltrion brothers to merge ... Will the stock price be ""plus""?"
2020-09-28 10:13:00,"‘합병 발표’ 셀트리온 3사, 주가도 뛸까?",Will celltrion's three companies'merger announcement' increase their share price?,"""Merger announcement"" Celltrion 3 companies, stock price is also Tilka?"
2020-09-28 10:09:00,"[특징주]셀트리온 3형제, 합병 추진 소식에 동반 강세",[Features] Celltrion's 3 brothers strengthened with news of merger promotion,[Tukjinju] Celltrion 3 brothers are high due to merger promotion news
2020-09-28 09:33:00,셀트리온 3형제 합병 발표…52조원 공룡제약사 탄생?,Announcement of the merger of the three Celltrion brothers… 52 trillion won dinosaur pharmaceutical company birth?,Announcement of merger of 3 brothers of Celltrion ... 52 trillion won Dinosaur Pharmaceutical is born?
2020-09-28 09:32:00,"[특징주]3社 합병 계획에, 셀트리온 삼총사 강세",[Features] Celltrion's Three Musketeers Strengthen in 3 Companies Merger Plan,"[Tukjinju] In the merger plan of the three companies, Celltrion Three Musketeers High School"
2020-09-28 09:29:00,"[특징주] 셀트리온 3형제, 합병 소식에 동반 강세",[Features] Celltrion's 3 brothers strengthened with news of merger,[Tukjinju] Celltrion 3 brothers are high due to news of merger
2020-09-28 09:18:00,[특징주]그룹사 합병 소식에 셀트리온 3형제 '상승',[Features] Celltrion's 3 brothers'rise' on news of merger,"[Tukjinju] The rise of ""Celltrion 3 brothers"" in the news of the merger of group companies """
2020-09-28 08:41:00,"""셀트리온 3사 합병, 일감 몰아주기 논란 종식…기업 가치 커질 것""","""The merger of the three Celltrion companies, the controversy over the workforce will end...the corporate value will increase""","""Merger of three Celltrion companies, end of discussion on ticket operation cycle ... Corporate value will increase"""
2020-09-28 10:54:00,[이데일리N] 기관 공매도 상위종목 삼성전자·씨젠·카카오·셀트리온 순 ...,"[EDaily N] Institutional short selling top stocks in order of Samsung Electronics, Seegene, Kakao, and Celltrion ...","[EDAILY N] Top short-selling stocks Samsung Electronics, Siegen, Cacao, Celltrion ..."
2020-09-28 08:50:00,"""셀트리온 합병, 소액주주 찬성이 중요""","""Celltrion merger, minor shareholder approval is important""","""Celltrion merger, approval of minority shareholders is important"""
2020-09-28 08:17:00,"""셀트리온 3사 합병 …셀트리온헬스케어 서정진 지분 35%→11%""","""Merger of three Celltrion companies …35% → 11% of Seo Jeong-jin, Celltrion Healthcare""","""Merger of three Celltrion companies ... Celltrion Healthcare So Jung Jin 35% → 11%"""
2020-09-27 17:14:00,셀트리온 3사 합병 추진 “소액주주 설득할 합병비율이 관건”,Promoting merger of three Celltrion companies “Merger ratio to persuade minority shareholders is key”,"Promotion of merger of three Celltrion companies ""The key is the merger ratio to persuade small shareholders."""
2020-09-27 13:29:00,주주들도 환영한 '셀트리온 3형제 합병'…진짜 문제는?,'Celltrion's 3 brothers merger' welcomed by shareholders... The real problem?,"Shareholders also welcomed the ""Celltrion 3 Brothers Merger"" ... What's the real problem?"
2020-09-26 19:22:00,"['약'한뉴스]셀트리온의 도전, 코로나19 치료제와 신약개발 기업으로의...","['Pharmaceutical' Hannews] Celltrion's Challenge, As a Corona 19 Remedy and New Drug Development Company...",['About' news] Celltrion's challenge is with Corona 19 therapeutics and new drug developers ...
2020-09-26 11:01:00,[제약 바이오 이모저모] 셀트리온 3총사 합병 위해 셀트리온헬스케어홀딩...,[Pharmaceutical Bio Essence] Celltrion Healthcare Holding to merge with the three Celltrion companies...,[Restricted bio stuff] Celltrion Healthcare Holding due to merger of 3 celltrion musketeers ...
2020-09-25 20:48:00,셀트리온 3사 합병...시총 52조 종합제약사로 거듭나,Merger of three Celltrion...,Merger of 3 Celltrion companies ... Reborn as a comprehensive pharmaceutical company with a market capitalization of 52 trillion
2020-09-25 20:34:00,"셀트리온, ‘일감 몰아주기’ 꼬리표 떼고 글로벌 빅파마와 맞대결",Celltrion takes off the label of “putting the job” and confronts Global Big Pharma,"Celltrion confronts Global Big Pharma, ""Ticket Driving Cycle"""
2020-09-25 19:54:00,셀트리온 3형제 합병…지배구조 어떻게 달라지나,Celltrion 3 brothers merged... How the governance structure changes,Celltrion 3 Brothers Merger ... Governance How Different
2020-09-25 19:29:00,셀트리온 3社 합병 '급물살',Merged with three Celltrion companies,"Merger of 3 Celltrion companies ""Rapid"""
2020-09-25 19:23:00,"셀트리온 3형제 합병의 '겉과 속'…""뚜껑 열어봐야 안다""","'Outside and inside' of the merger of the three Celltrion brothers ""You have to open the lid to know""","""Honne and Tatemae"" of the merger of the three Celltrion brothers ... ""You have to open the lid to see"""
2020-09-25 17:45:00,"""글로벌 빅파마 맞서자""...신약개발서 판매까지 원스톱 체제로[셀트리...","""Let's face the global big pharma""...With a one-stop system from new drug development to sales [Cell Tree...","""Let's compete with global big pharma"" ... One-stop system from new drug development to sales [Certuri ..."
2020-09-25 16:59:00,"셀트리온, 지주사 체제 확립…셀트리온헬스케어·셀트리온제약과 합병 추진",Celltrion establishes a holding company system... Promotion of merger with Celltrion Healthcare and Celltrion Pharmaceuticals,Celltrion establishes holding company structure ... Promotes merger with Celltrion Healthcare and Celltrion Pharmaceuticals
2020-09-25 16:23:00,셀트리온 3사 합병.. 셀트리온헬스케어홀딩스 설립,Merged with three Celltrion companies.. Established Celltrion Healthcare Holdings.,Merged three Celltrion companies. Established Sertorion Healthcare Holdings
